lake,Date,pH,Alk (uEq/L),T,Cond,atm pCO2,Bar. Prs. (kP),Altitude (m),Ionic Strength,pK1,pK2,ao,a1,a2,pKH,DIC uM,CO2 uM,pCO2 uatm,equil CO2,log CO2,CO2:CO2 sat.,alpha,flux  mmol/m2/day,enh flux
C,05-07-1994,9.2,,20.5,1300,370,101.325,509.3,0.02275,6.2763557488,10.1279044951,0.0010651936,0.8934552467,0.1054795597,1.4085825, ,,,13.5298855191,,,2.7244924852,,
C,05-07-1999,9.1,4071.8209933107,18,1225,370,101.325,509.3,0.0214375,6.3068097562,10.159543025,0.00147864,0.9184440154,0.0800773447,1.37532,3766.6666666667,5.5695439275,132.1720523185,14.6068517641,0.7458196336,,1.9676639774,-9.5433970755,-18.7781986476
C,05-07-2002,9.3,,20,1380,370,101.325,509.3,0.02415,6.2805829315,10.1267317262,0.000831555,0.8695770037,0.1295914413,1.402, ,,,13.7365168084,,,2.9044963064,,
C,05-07-2012,8.25,5717.3119246594,21.4,1346,370,101.325,509.3,0.023555,6.265071637,10.1153727081,0.0101106037,0.9765746548,0.0133147415,1.4203428,5690.8333333333,57.5377602776,1514.592327498,13.1684246154,1.7599529525,,1.3045305481,46.8540184594,61.1224983834
C,05-08-2003,9.23,4934.5308602494,21.9,1528,370,101.325,509.3,0.02674,6.2559449573,10.0970118894,0.0009337418,0.8795932016,0.1194730565,1.4268273,4403.3333333333,4.1115765863,109.8590108188,12.9732659725,0.6140083843,,3.2013129391,-9.3579439918,-29.9577071842
C,05-08-2010,10,5533.8986530006,22.3,1449,370,101.325,509.3,0.0253575,6.2527644468,10.0988231273,9.96088469343007E-005,0.5565875222,0.4433128689,1.4319897,3827.5,0.3812528616,10.3086741509,12.8199674322,-0.4187868879,,8.043851764,-13.1352825865,-105.6582660037
C,06-05-2004,8.63,4982.7999519176,7,1003,370,101.325,509.3,0.0175525,6.4406604414,10.3049957655,0.0062926812,0.9731399129,0.0205674059,1.21857,4904.1666666667,30.8603571464,510.4708508487,20.9559146951,1.4894009478,,1.0298564002,10.4590912286,10.7713620424
C,06-06-1997,8.69,,18,1200,370,101.325,509.3,0.021,6.307327794,10.1616151761,0.0039918255,0.9634823302,0.0325258443,1.37532, ,,,14.6068517641,,,1.4203173302,,
C,06-06-2005,9.1,4341.3128882051,14.3,1060,370,101.325,509.3,0.01855,6.3534557513,10.2137195453,0.0016616243,0.9269943606,0.0713440151,1.3244857,4050,6.7295785487,142.0605744982,16.4206718366,0.8279878666,,1.4829107752,-10.233794512,-15.1758041534
C,06-06-2006,9.2,4144.2904455422,18.5,1405,370,101.325,509.3,0.0245875,6.2974758107,10.1401967427,0.0011215168,0.8960453119,0.1028331713,1.3820425,3753.3333333333,4.2094263803,101.453122558,14.3824913633,0.6242229184,,2.2700058114,-10.7427566221,-24.3861199631
C,06-06-2012,8.4,5496.6051292613,14.1,1101,370,101.325,509.3,0.0192675,6.3548759292,10.2122789769,0.00879828,0.9761618919,0.0150398281,1.3216833,5454.1666666667,47.9872854501,1006.4900442773,16.5269731641,1.6811261834,,1.0996314953,33.222089774,36.5320562558
C,06-07-2006,9.3,4256.798573205,21.6,1401,370,101.325,509.3,0.0245175,6.2617183345,10.109215098,0.0007920113,0.8649939428,0.1342140459,1.4229408,3747.5,2.968062503,78.5984247846,13.0898847224,0.4724730423,,3.3711522507,-10.6886442637,-36.0330471662
C,06-07-2011,8.4,4863.5991824072,23.6,1140,370,101.325,509.3,0.01995,6.2439637622,10.1109552089,0.0068019168,0.9742435827,0.0189545005,1.4486128,4796.9083333333,32.6281714251,916.6542057298,12.3385413793,1.5135927354,,1.605018084,21.4258493284,34.3888756361
C,06-08-2009,9.8,6615.7086965723,19.3,1447,370,101.325,509.3,0.0253225,6.2874284048,10.1288381592,0.0002090833,0.6805983682,0.3191925485,1.3927257,5008.3333333333,1.0471587699,25.8665337119,14.033012818,0.0200125343,,4.794454045,-13.7130618748,-65.746644975
C,07-06-2007,8.6,3864.0782342484,13.5,1099,370,101.325,509.3,0.0192325,6.3619379881,10.2191854525,0.0056127979,0.9710496141,0.0233375879,1.3132425,3788.3333333333,21.2631495376,437.3912527451,16.8513276108,1.3276275935,,1.1367165207,4.6588839547,5.2958303593
C,07-07-2003,8.7,4848.2543967236,19.2,1525,370,101.325,509.3,0.0266875,6.2871774681,10.1242273126,0.003711176,0.9601389509,0.036149873,1.3913952,4687.5,17.3961377287,428.3985945844,14.0760701296,1.2404528374,,1.5352323063,3.5059913847,5.3825112396
C,07-07-2010,8.6,3949.3754724979,21.6,1380,370,101.325,509.3,0.02415,6.2621150915,10.1108021262,0.0044359896,0.9657738184,0.029790192,1.4229408,3843.3333333333,17.0489866964,451.4808893579,13.0898847224,1.2316985719,,1.6586557165,4.1808116845,6.9345272001
C,07-08-2008,8.3,4485.5756013727,22.5,1505,370,101.325,509.3,0.0263375,6.2494475633,10.0928277533,0.0086839588,0.9755964069,0.0157196343,1.4345625,4446,38.6088809251,1050.1460757703,12.7442452933,1.5866872138,,1.4100561036,27.3130552272,38.5129402312
C,07-08-2014,8.6,,22.9,1307,370,101.325,509.3,0.0228725,6.2485633454,10.1038462416,0.0042982246,0.9654410376,0.0302607379,1.4396913, ,,,12.5946273439,,,1.8112957443,,
C,08-06-1995,8.2,,16,1050,370,101.325,509.3,0.018375,6.3338496483,10.1959745931,0.0132946141,0.9768459631,0.0098594228,1.34808, ,,,15.5523715068,,,1.0956094638,,
C,08-06-2011,7.9,4799.959824862,14,1051,370,101.325,509.3,0.0183925,6.3571668555,10.217883422,0.0277250377,0.9676210106,0.0046539517,1.32028,4905.2416666667,135.998010155,2843.233673905,16.5804617819,2.1335325541,,1.0313443288,126.1049310821,130.0576055032
C,08-07-2009,8.6,5310.4279675336,18.7,1466,370,101.325,509.3,0.025655,6.2940297935,10.133614914,0.0047799206,0.9669207613,0.0282993181,1.3847217,5180,24.7599884957,600.4434872196,14.2940376572,1.3937504386,,1.395745335,11.0520440854,15.4258389739
C,08-08-2001,9.36,5768.0760729613,23,1290,370,101.325,509.3,0.022575,6.2477502479,10.1042349917,0.0006538965,0.8467569159,0.1525891876,1.44097,4999.1666666667,3.2689374927,90.2353311073,12.5575993245,0.5144066163,,4.1017299366,-9.8088268943,-40.2331589158
C,09-05-2007,8.8,3789.0512130488,11.6,1011,370,101.325,509.3,0.0176925,6.3862141122,10.2489262089,0.0037103988,0.96206958,0.0342200212,1.2861808,3668.3333333333,13.6109797278,263.069310881,17.9347704277,1.1338893871,,1.1388266667,-4.5659229791,-5.1997948466
C,09-05-2012,8.9,5549.1427558419,8.2,883,370,101.325,509.3,0.0154525,6.4293989377,10.3019487909,0.0032442019,0.9587578503,0.0379979478,1.2364932,5354.1666666667,17.369997529,299.4283772556,20.1086734664,1.2397997567,,1.0756405714,-2.8920417898,-3.1107974833
C,09-06-2003,8.96,5073.4042034219,16.1,1507,370,101.325,509.3,0.0263725,6.3234943392,10.158131017,0.0021670486,0.9383704331,0.0594625183,1.3494553,4790,10.3801628703,232.0916242557,15.5031990073,1.0162041679,,1.5156479378,-5.4099261606,-8.1995434293
C,09-06-2010,8.9,4151.1199959932,15.2,1316,370,101.325,509.3,0.02303,6.3375593685,10.1822253141,0.0025961331,0.9479110393,0.0494928277,1.3370272,3956.6666666667,10.2720331861,223.1945644353,15.9532592172,1.0116564138,,1.3797952504,-5.9993746888,-8.2779087012
C,09-07-2008,8.6,4694.8344517125,20.1,1438,370,101.325,509.3,0.025165,6.2783409659,10.1213783236,0.0046073837,0.9663031943,0.029089422,1.4033193,4574.25,21.075324869,533.4498260531,13.6948513283,1.3237742779,,1.509961326,7.7937800589,11.7683064721
C,10-05-2006,9.3,4102.7119736879,10.1,1023,370,101.325,509.3,0.0179025,6.4035766476,10.2654290504,0.0011440047,0.9012622205,0.0975937748,1.2644593,3733.3333333333,4.2709509331,78.5206492757,18.8545999398,0.6305245821,,1.294863525,-15.400333351,-19.9413299296
C,10-08-2004,8.9,,19.1000003815,1321,370,101.325,509.3,0.0231175,6.2921329053,10.1404428948,0.0023272694,0.9434388287,0.0542339019,1.3900633051, ,,,14.1193049032,,,1.7899626084,,
C,11-05-2005,8.9,3961.7403692156,7.6,885,370,101.325,509.3,0.0154875,6.4364436271,10.3091114685,0.0032991307,0.9593032093,0.03739766,1.2275568,3822.5,12.6109271992,212.962834515,20.5267324614,1.1007470186,,1.0647378759,-8.3590903569,-8.9002401113
C,11-05-2011,8.5,4757.5093717925,8.2,875,370,101.325,509.3,0.0153125,6.4296038126,10.3027682905,0.0083022739,0.9763223781,0.015375348,1.2364932,4715.6583333333,39.1506870464,674.8893700849,20.1086734664,1.5927393878,,1.0304362128,20.1083663405,20.7203888582
C,11-06-2002,8.36,,12.7,1210,370,101.325,509.3,0.021175,6.36892991,10.21874898,0.0099680028,0.9765134737,0.0135185235,1.3019097, ,,,17.2968461254,,,1.0664047164,,
C,11-06-2008,8.6,4752.3743234147,12.6,1196,370,101.325,509.3,0.02093,6.3703937083,10.2210577934,0.005723093,0.9710399474,0.0232369596,1.3004868,4662.125,26.6817750582,532.9684715319,17.3536095559,1.4262147185,,1.1116198236,9.8505427705,10.9500586167
C,11-06-2009,9,5484.7668634076,13.2,1259,370,101.325,509.3,0.0220325,6.3620691151,10.2090515005,0.0021631581,0.9397647274,0.0580721145,1.3090032,5185.8333333333,11.2177772103,228.5125256939,17.0166247495,1.0499068105,,1.3094457222,-6.1235830013,-8.0184995658
C,11-06-2014,8.6,,14.9,1189,370,101.325,509.3,0.0208075,6.343636129,10.1958269758,0.0053754933,0.9700233674,0.0246011393,1.3328593, ,,,16.1070987731,,,1.1853875396,,
C,12-05-2010,8.6,3948.7748897274,9.5,1125,370,101.325,509.3,0.0196875,6.4083552494,10.2634224978,0.0062561021,0.9726320581,0.0211118398,1.2556825,3882.5,24.2893164862,437.620636751,19.2395150882,1.3854152937,,1.0532120344,5.3325902763,5.6163482536
C,12-06-1998,9.4,3440.7569935799,17.5,820,370,101.325,509.3,0.01435,6.3220753285,10.2026388139,0.0007214893,0.8632857586,0.1359927521,1.3685625,3022.5,2.180701461,50.951704194,14.8359076711,0.3385962145,,2.552283752,-13.3638977579,-34.1084591111
C,12-07-2001,8.81,6063.891992622,19,1990,370,101.325,509.3,0.034825,6.2819916001,10.0962724003,0.0028110304,0.9481432021,0.0490457675,1.38873,5787.5,16.2688381918,398.1865073192,14.1627184595,1.2113565397,,1.6477146205,2.2240624373,3.6646201948
C,12-08-2000,,,21,1300,370,101.325,509.3,0.02275,6.2705839988,10.1229219951,0.9999994637,5.36309843722575E-007,4.04104580557225E-017,1.41513,4293.3333333333,4293.3310307764,111666.878296397,13.3274364983,3.6327943754,,1.0000004147,,
C,12-08-2002,7.5,,20,1320,370,101.325,509.3,0.0231,6.2817395654,10.1313582616,0.0569211725,0.9408800767,0.0021987508,1.402, ,,,13.7365168084,,,1.0439740262,,
C,13-05-2002,8.75,,8.5,1100,370,101.325,509.3,0.01925,6.420705872,10.277696988,0.0045293584,0.9667870304,0.0286836112,1.2409425, ,,,19.903713968,,,1.0581214685,,
C,13-05-2003,8.68,4595.9420314156,10.1,1449,370,101.325,509.3,0.0253575,6.3948163668,10.2303879273,0.005018469,0.9677315031,0.0272500279,1.2644593,4487.5,22.520379645,414.0330477538,18.8545999398,1.3525757075,,1.0740165458,3.8710633687,4.1575861077
C,13-06-1996,8.5,,21,1100,370,101.325,509.3,0.01925,6.274762122,10.139634488,0.0057862453,0.9719293916,0.0222843632,1.41513, ,,,13.3274364983,,,1.484049728,,
C,13-06-2001,8.49,5915.0836657911,16.4,1100,370,101.325,509.3,0.01925,6.328069682,10.187170888,0.0067067428,0.9737376602,0.019555597,1.3535728,5831.6666666667,39.1114881935,882.8301187428,15.3569093929,1.5923043412,,1.1986868539,25.0848352134,30.0688622015
C,13-07-1995,8.79,,24,1250,370,101.325,509.3,0.021875,6.2370707553,10.0979790214,0.0026610475,0.9505651305,0.0467738219,1.45368, ,,,12.1954160759,,,2.3687072326,,
C,13-07-1998,9.8,3831.8047951754,22,980,370,101.325,509.3,0.01715,6.2659899986,10.1408239944,0.0002007591,0.6865707279,0.313228513,1.42812,2910.8333333333,0.5843763364,15.6607523311,12.9347077886,-0.2333073786,,6.2124513643,-13.0419500135,-81.0224801542
C,13-07-2004,8.7,,19.6000003815,1345,370,101.325,509.3,0.0235375,6.2858791518,10.1334679809,0.0037029573,0.9608808748,0.0354161679,1.3967088051, ,,,13.9048983016,,,1.5746637489,,
C,13-08-1999,7.8,4229.5464283911,21,1350,370,101.325,509.3,0.023625,6.2696078974,10.1190175896,0.0285081266,0.9668537404,0.0046381329,1.41513,4325,123.2976476412,3206.8953720737,13.3274364983,2.0909547909,,1.1045737492,116.1285429669,128.2725400917
C,14-05-1998,9.5,3763.0673370914,11,1000,370,101.325,509.3,0.0175,6.3935230029,10.2569580117,0.0006655725,0.850496236,0.1488381915,1.27753,3269.1666666667,2.175867578,41.2251705417,18.2955985365,0.3376324609,,1.5534603245,-17.0224358922,-26.4436787851
C,14-05-2008,8.7,4672.7257727399,8.9,1034,370,101.325,509.3,0.018095,6.4174716051,10.2788000805,0.0050578179,0.9693744912,0.0255676909,1.2468553,4570.2916666667,23.1157031724,408.0960667825,19.6345667135,1.3639071091,,1.0574404133,3.6760801006,3.8872356611
C,14-05-2009,8.7,5243.3396727412,7.9,1076,370,101.325,509.3,0.01883,6.4283321388,10.287169415,0.0051877623,0.9697235172,0.0250887205,1.2320313,5132.5,26.6261898832,454.2974769148,20.3163329661,1.4253090248,,1.0444238333,6.6632089045,6.9592141859
C,14-05-2014,8.8,,6.8,888,370,101.325,509.3,0.01554,6.4458405012,10.3187290449,0.0042758346,0.9664522359,0.0292719295,1.2155632, ,,,21.1015045521,,,1.0417079524,,
C,14-06-2000,8.4,5127.8517664014,15.5,1100,370,101.325,509.3,0.01925,6.338553872,10.196916988,0.0084719132,0.975950125,0.0155779619,1.3411825,5083.3333333333,43.0655586197,944.7406120273,15.8013474202,1.634130085,,1.1348353238,28.7910070267,32.6730517809
C,14-07-2000,8.3,4682.1305352543,22.5,1350,370,101.325,509.3,0.023625,6.2523256474,10.1043400896,0.00874479,0.9759413862,0.0153138238,1.4345625,4643.3333333333,40.6049747149,1104.4390262515,12.7442452933,1.6085792444,,1.4100561036,29.4209302692,41.4851622998
C,14-08-1996,8.4,,22,1050,370,101.325,509.3,0.018375,6.2643576483,10.1342945931,0.0071336859,0.9748916104,0.0179747037,1.42812, ,,,12.9347077886,,,1.465554906,,
C,14-08-2013,9,,20,1341,370,101.325,509.3,0.0234675,6.2813307702,10.1297230808,0.001776161,0.9292906328,0.0689332062,1.402, ,,,13.7365168084,,,2.1130579667,,
C,15-05-1995,7.93,,,,370,101.325,509.3,0,6.58,10.62,0.0426750056,0.9553743703,0.0019506241,1.11, ,,,26.9077027826,,,1.0007699203,,
C,15-06-2004,8.7,,14,1176,370,101.325,509.3,0.02058,6.3544239447,10.2069117787,0.0043572932,0.9655901754,0.0300525314,1.32028, ,,,16.5804617819,,,1.1906829943,,
C,15-07-1996,8.87,,22,1100,370,101.325,509.3,0.01925,6.263235122,10.129804488,0.0023386999,0.9456694954,0.0519918046,1.42812, ,,,12.9347077886,,,2.1883972246,,
C,15-07-1999,8.8,3753.380336641,19,1250,370,101.325,509.3,0.021875,6.2947057553,10.1471290214,0.0029806279,0.9541178218,0.0429015503,1.38873,3600.8333333333,10.7327443222,262.6883324556,14.1627184595,1.0307107836,,1.6346417987,-3.622052689,-5.9207587228
C,15-08-1995,8.57,,18,1100,370,101.325,509.3,0.01925,6.309475122,10.170204488,0.0053258232,0.9703125021,0.0243616747,1.37532, ,,,14.6068517641,,,1.3250734593,,
C,15-08-1997,9.09,,20,1300,370,101.325,509.3,0.02275,6.2821329988,10.1329319951,0.0014251256,0.9156302689,0.0829446055,1.402, ,,,13.7365168084,,,2.3156138594,,
C,15-08-2005,9.5,4766.7214988283,19.6,1238,370,101.325,509.3,0.021665,6.2880049317,10.1419710867,0.0004995421,0.8138927202,0.1856077377,1.3967088,4014.1666666667,2.0052452486,49.9892125878,13.9048984635,0.302167496,,3.5012693451,-12.566033795,-43.9970689161
C,15-08-2006,9.9,5072.8102742516,21.4,1316,370,101.325,509.3,0.02303,6.2656554885,10.1177081141,0.0001445158,0.6226727816,0.3771827026,1.4203428,3676.6666666667,0.5313364728,13.9866088128,13.1684246154,-0.2746303716,,6.5910016053,-13.3447650786,-87.9553680557
C,15-08-2007,8.8,3848.1952840909,20.5,1389,370,101.325,509.3,0.0243075,6.2746351441,10.1210220766,0.0028388511,0.9517162234,0.0454449255,1.4085825,3682.5,10.4540692398,267.8353350726,13.5298855191,1.0192853722,,1.8202298381,-3.248061991,-5.9122193521
C,15-08-2012,7.63,5251.6661019479,21,1367,370,101.325,509.3,0.0239225,6.269281601,10.1177124038,0.0416298091,0.9552626961,0.0031074948,1.41513,5454.1666666667,227.0559171547,5905.5836332299,13.3274364983,2.3561328242,,1.071314197,225.6972755732,241.7926955551
C,16-05-2001,9.11,5716.5272438148,,1020,370,101.325,509.3,0.01785,6.5237241884,10.3948967535,0.0024585771,0.9483303432,0.0492110796,1.11,5452.5,13.4053917276,172.6948988334,26.9077027826,1.1272795093,,1.0111909361,-14.2584404741,-14.4180057704
C,16-07-2003,9,4978.1217257539,22.1,1518,370,101.325,509.3,0.026565,6.2538193064,10.0957740856,0.0016580233,0.9242114226,0.0741305541,1.4294113,4633.3333333333,7.6821747799,206.4883166168,12.8963057773,0.8854841837,,2.5278640413,-5.5061223333,-13.9187286534
C,17-05-1996,8.1,,8,820,370,101.325,509.3,0.01435,6.4334105785,10.3109863139,0.0209673798,0.9730464747,0.0059861455,1.23352, ,,,20.2468106772,,,1.0115914499,,
C,17-06-1999,8.2,3483.2679029455,17.5,1200,370,101.325,509.3,0.021,6.313132544,10.1668676761,0.0126744983,0.9767833185,0.0105421832,1.3685625,3482.5,44.1389403979,1031.2985407787,14.8359076711,1.6448219033,,1.1302558347,30.9440025595,34.9746394425
C,17-07-2013,10.45,,22.2,1418,370,101.325,509.3,0.024815,6.2544891808,10.102087363,1.97491695072291E-005,0.3097844804,0.6901957705,1.4307012, ,,,12.8580592276,,,13.3879579796,,
C,17-08-2011,8.4,4652.9177956152,21.7,1103,370,101.325,509.3,0.0193025,6.2666246435,10.132469514,0.0071702103,0.9747814302,0.0180483595,1.4242377,4594.5416666667,32.943829765,875.0075192652,13.0508537194,1.5177740851,,1.4423820267,21.0069827042,30.3000942877
C,18-05-1999,8.2,3849.4048036196,13.5,100,370,101.325,509.3,0.00175,6.400245475,10.3724154001,0.0155077096,0.9779174262,0.0065748642,1.3132425,3875.8333333333,60.1052978588,1236.3893448899,16.8513276108,1.7789127537,,1.0554167157,45.6761925819,48.2074171594
C,18-07-2005,9.3,4669.9134552021,21.9,1311,370,101.325,509.3,0.0229425,6.2599918189,10.1131993358,0.0007898395,0.8660581529,0.1331520075,1.4268273,4115.8333333333,3.2508479239,86.8608257066,12.9732659725,0.5119966535,,3.4653822018,-10.2668734593,-35.5786405543
C,18-07-2006,9.7,4716.7581424529,22.9,1370,370,101.325,509.3,0.023975,6.2473418151,10.0989601206,0.0002519971,0.7145847205,0.2851632824,1.4396913,3663.3333333333,0.9231493719,25.4075786459,12.5946273439,-0.0347280214,,6.0127772484,-12.3250807384,-74.1079650489
C,18-07-2007,9.1,3977.2173660179,23.5,1357,370,101.325,509.3,0.0237475,6.2406969548,10.0942413192,0.0012538129,0.9068506445,0.0918955427,1.4473425,3638.3333333333,4.5617891307,127.7843611515,12.3746841226,0.6591352061,,3.1884262021,-8.2504171115,-26.3058460964
C,18-07-2012,8.13,5846.0725713998,21.2,1349,370,101.325,509.3,0.0236075,6.2673200178,10.1171143111,0.0133971231,0.9765433578,0.0100595191,1.4177392,5857.5,78.4736486036,2053.350297362,13.247606571,1.8947238454,,1.2261082516,68.8787003864,84.4527429049
C,18-08-1998,9.1,3427.3919110201,21,1300,370,101.325,509.3,0.02275,6.2705839988,10.1229219951,0.0013509484,0.9121258159,0.0865232358,1.41513,3150,4.2554873151,110.6825867135,13.3274364983,0.6289493003,,2.5566619011,-9.5799783375,-24.4927656292
C,18-08-2003,9.48,5323.9939417678,23.8,1465,370,101.325,509.3,0.0256375,6.2352322724,10.0833253295,0.0004553834,0.8001012415,0.199443375,1.4511492,4432.5,2.0184870198,57.0394279023,12.2666908995,0.305025961,,5.0580615164,-10.822103297,-54.7388642132
C,18-08-2010,10.5,6434.7135992159,19.9,1373,370,101.325,509.3,0.0240275,6.2818722044,10.1282752775,1.80450742671064E-005,0.2981854646,0.7017964903,1.4006793,3775,0.0681201554,1.7137794456,13.7783534684,-1.1667243702,,11.3937613134,-14.4780063786,-164.958948972
C,19-05-1995,,,8.5,1000,370,101.325,509.3,0.0175,6.4229867529,10.2868205117,0.9999996224,3.77583565435152E-007,1.95070937602814E-017,1.2409425, ,,,19.903713968,,,1.0000003194,,
C,19-05-2000,8.27,5014.1161306595,11.5,1100,370,101.325,509.3,0.01925,6.385365872,10.241996988,0.0127405883,0.9768403976,0.0104190141,1.2847425,5017.5,63.9259020311,1231.4573207973,17.99426541,1.8056768649,,1.0408794547,48.5038082718,50.4866175037
C,19-05-2004,8.8,5035.9892530032,10.5,1091,370,101.325,509.3,0.0190925,6.3973233988,10.2545150951,0.0038078355,0.9623981576,0.0337940069,1.2702825,4880.8333333333,18.5854105766,346.3017288432,18.6034770096,1.2691721597,,1.1069752758,-0.0190781532,-0.0211190439
C,19-06-2013,9.08,,18.4,1327,370,101.325,509.3,0.0232225,6.300126975,10.14720166,0.0015267502,0.919689012,0.0787842378,1.3807008, ,,,14.4269930276,,,1.9967140646,,
C,19-07-1997,8.15,,23,1300,370,101.325,509.3,0.02275,6.2475519988,10.1034419951,0.0122292681,0.9768963027,0.0108744292,1.44097, ,,,12.5575993245,,,1.3236027407,,
C,19-08-2009,9.4,5369.5269539299,19,1446,370,101.325,509.3,0.025305,6.2909204068,10.1319876272,0.0006558217,0.8430734046,0.1562707736,1.38873,4638.3333333333,3.0419197467,74.4522371675,14.1627184595,0.4831477521,,2.9513075901,-11.7435634407,-34.6588679172
C,20-01-2007,8.8,3792.8429151841,0.3,811,370,101.325,509.3,0.0141925,6.5253494853,10.4116920811,0.0051595457,0.9710955789,0.0237448754,1.1147937,3715,19.1677122163,249.6686312003,26.6123313314,1.2825702803,,1.0060757348,-7.8615177856,-7.9092822827
C,20-02-2007,8.2,,0.4,836,370,101.325,509.3,0.01463,6.5234824507,10.4076571628,0.0205022665,0.9734629421,0.0060347914,1.1163888, ,,,26.5147674163,,,1.0016028804,,
C,20-05-1997,8.46,,11,950,370,101.325,509.3,0.016625,6.3947200163,10.2617460652,0.0083995264,0.9761909674,0.0154095061,1.27753, ,,,18.2955985365,,,1.0558880899,,
C,20-06-1997,8.76,,19.5,1250,370,101.325,509.3,0.021875,6.2889175053,10.1420115214,0.0032348448,0.9570529112,0.0397122439,1.3953825, ,,,13.9474277992,,,1.638636209,,
C,20-06-2005,9.1,4421.1953198816,20.4,1238,370,101.325,509.3,0.021665,6.2787569317,10.1338910867,0.001379554,0.9140749064,0.0845455395,1.4072688,4073.3333333333,5.6193834691,143.5348862767,13.5708741136,0.7496886695,,2.4241103531,-8.3967741206,-20.3547070784
C,20-06-2006,9.3,4270.197919737,18.8,1388,370,101.325,509.3,0.02429,6.2943191456,10.1383748225,0.0008612057,0.8725448486,0.1265939457,1.3860592,3785,3.259663641,79.2924776193,14.2500839184,0.5131727883,,2.5941762777,-11.605883813,-30.1077084697
C,20-06-2007,8.6,3848.8009307544,17.5,1214,370,101.325,509.3,0.021245,6.3128415626,10.1657037502,0.0050005367,0.9686682238,0.0263312395,1.3685625,3760,18.8020178597,439.3058240089,14.8359076711,1.2742044609,,1.3148969079,4.1882123591,5.5070674807
C,20-06-2012,8.39,5918.4629123662,16.6,1189,370,101.325,509.3,0.0208075,6.323825179,10.1773564758,0.0083780332,0.9757013305,0.0159206363,1.3563108,5865.8333333333,49.144146315,1116.3042940295,15.2603966467,1.6914717953,,1.1658010231,35.7812396498,41.7138057908
C,20-07-2011,9.6,6208.1618014513,25.9,1210,370,101.325,509.3,0.021175,6.21613463,10.08376578,0.0003109657,0.7526235732,0.2470654612,1.4774433,4971.7583333333,1.5460461628,46.4157911365,11.5460470232,0.1892224572,,6.9647127375,-10.5600009086,-73.5473728361
C,20-08-2008,8,4332.1212465355,23.9,1529,370,101.325,509.3,0.0267575,6.2329348463,10.0777850454,0.0166731276,0.9751742528,0.0081526196,1.4524153,4361.2916666667,72.7163722443,2060.8553223032,12.2309818555,1.8616322042,,1.2719431719,63.8725722505,81.2422821427
C,20-08-2014,8.4,,22.1,1305,370,101.325,509.3,0.0228375,6.2578067696,10.1117239385,0.0070209069,0.974061647,0.0189174461,1.4294113, ,,,12.8963057773,,,1.4734820617,,
C,21-06-1995,8.52,,,,370,101.325,509.3,0,6.58,10.62,0.0112627592,0.9809453152,0.0077919256,1.11, ,,,26.9077027826,,,1.0029043438,,
C,21-06-2002,8.04,,17,1280,370,101.325,509.3,0.0224,6.3173095353,10.1656321411,0.0184494035,0.9742553385,0.007295258,1.36177, ,,,15.0697699268,,,1.0820703703,,
C,21-07-2010,9.7,5051.6139257296,21.2,1410,370,101.325,509.3,0.024675,6.2661612126,10.1124790905,0.0002654743,0.7208771346,0.2788573911,1.4177392,3943.3333333333,1.0468536051,27.3920889306,13.247606571,0.019885953,,5.1361906734,-12.883995132,-66.1746556332
C,22-06-2011,8.6,5062.1697612261,18.2,1151,370,101.325,509.3,0.0201425,6.3060440956,10.1636734225,0.0049226538,0.9686239296,0.0264534166,1.3780132,4947.0583333333,24.3526552686,581.5131245052,14.5165502542,1.386546321,,1.360249562,10.3869268952,14.1288127596
C,22-07-1994,8.65,,22,1350,370,101.325,509.3,0.023625,6.2580808974,10.1091875896,0.0039043728,0.9626543551,0.0334412722,1.42812, ,,,12.9347077886,,,1.7773237022,,
C,22-07-2009,12.2,10055.0133055967,21.3,1449,370,101.325,509.3,0.0253575,6.2642848468,10.1085991273,9.31921729794404E-009,0.0080370115,0.9919629791,1.4190417,5041.6666666667,4.69843872104679E-005,0.0012330914,13.2079349674,-4.328046433,,92.326362761,-13.9475297101,-1287.724687636
C,22-08-1999,8.8,3407.1673581086,22,1300,370,101.325,509.3,0.02275,6.2590569988,10.1130919951,0.002736808,0.9510149378,0.0462482542,1.42812,3256.6666666667,8.9128715227,238.8568201297,12.9347077886,0.9500176463,,2.0414430429,-4.2470590968,-8.6701292459
C,22-08-2001,9.35,5813.6087783702,22.1,1270,370,101.325,509.3,0.022225,6.2585033836,10.1145103944,0.0006906872,0.8526641883,0.1466451245,1.4294113,5065,3.4983306605,94.0312385181,12.8963057773,0.5438608564,,3.7365315386,-9.9242617233,-37.082316926
C,23-05-2013,8.46,,10.8,1005,370,101.325,509.3,0.0175875,6.3957575173,10.2588355092,0.0084185749,0.9760702196,0.0155112056,1.2746352, ,,,18.4179556092,,,1.0532594919,,
C,23-06-2010,9.3,4436.4868320687,19.6,1442,370,101.325,509.3,0.025235,6.2840488216,10.1261466465,0.0008380658,0.8694193211,0.1297426131,1.3967088,3921.6666666667,3.2866146417,81.9327601624,13.9048984635,0.5167487857,,2.7972782734,-11.2129077158,-31.3656231353
C,23-07-2002,9.2,,23,334,370,101.325,509.3,0.005845,6.2752886131,10.2143884525,0.0010832127,0.9108044556,0.0881123317,1.44097, ,,,12.5575993245,,,3.4164346846,,
