LAKE,Date,Date2,Replicate,LIGHT_O2_ppm,DARK_O2_ppm,LIGHT_Pois_O2_ppm,DARK_Pois_O2_ppm,NetOxy_ppm,RespOxy_ppm,Net_mgC_m3_h,Resp_mgC_m3_H,LightAzidemgCm3h,DarkAzidemgCm3h
C,18-Jul-07,2007-07-18,1,9.58,7.87,8.17,8.37,2.36,0.65,28.32,7.80,11.40,13.80
C,18-Jul-07,2007-07-18,2,9.54,7.81,8.06,8.24,2.32,0.59,27.84,7.08,10.08,12.24
C,18-Jul-07,2007-07-18,3,10.03,7.88,8.2,8.16,2.81,0.66,33.73,7.92,11.76,11.28
C,01-Aug-07,2007-08-01,1,8.67,7.63,6.93,7.06,,,,,,
C,01-Aug-07,2007-08-01,2,9.34,7.69,6.95,7.1,,,,,,
C,01-Aug-07,2007-08-01,3,7.86,7.78,6.94,7.1,,,,,,
C,15-Aug-07,2007-08-15,1,11.38,7.45,7.45,7.04,3.93,0.00,45.28,0.00,0.00,-4.72
C,15-Aug-07,2007-08-15,2,11.25,7.41,7.42,7.06,3.80,-0.04,43.78,-0.46,-0.35,-4.49
C,15-Aug-07,2007-08-15,3,11.24,7.25,7.47,7.17,3.79,-0.20,43.67,-2.30,0.23,-3.23
C,26-Aug-07,2007-08-26,1,8.76,7.38,8.61,8.03,1.71,0.33,20.52,3.96,18.72,11.76
C,26-Aug-07,2007-08-26,2,7.99,7.76,8.6,7.57,0.94,0.71,11.28,8.52,18.60,6.24
C,26-Aug-07,2007-08-26,3,8.8,7.48,8.69,7.95,1.75,0.43,21.00,5.16,19.68,10.80
C,14-May-08,2008-05-14,1,8.42,9.21,9.61,9.16,0.77,1.56,9.64,19.54,24.55,18.91
C,14-May-08,2008-05-14,2,8.12,9.04,9.55,9.34,0.47,1.39,5.89,17.41,23.79,21.16
C,14-May-08,2008-05-14,3,10.33,8.57,9.25,9.02,2.68,0.92,33.56,11.52,20.04,17.16
C,28-May-08,2008-05-28,1,9.58,8.83,8.75,8.81,-0.17,-0.92,-2.00,-10.84,-11.78,-11.07
C,28-May-08,2008-05-28,2,9.74,8.56,8.73,8.83,-0.01,-1.19,-0.12,-14.02,-12.02,-10.84
C,28-May-08,2008-05-28,3,9.62,8.66,8.83,8.73,-0.13,-1.09,-1.53,-12.84,-10.84,-12.02
C,11-Jun-08,2008-06-11,1,11.18,8.58,8.88,9.2,2.23,-0.37,29.20,-4.84,-0.92,3.27
C,11-Jun-08,2008-06-11,2,9.2,8.94,8.75,9.23,0.25,-0.01,3.27,-0.13,-2.62,3.67
C,11-Jun-08,2008-06-11,3,8.04,9.08,8.92,9.33,-0.91,0.13,-11.91,1.70,-0.39,4.98
C,25-Jun-08,2008-06-25,1,8.08,7.61,7.8,7.21,0.88,0.41,10.47,4.88,7.14,0.12
C,25-Jun-08,2008-06-25,2,8.23,7.45,7.85,7.65,1.03,0.25,12.26,2.98,7.74,5.36
C,25-Jun-08,2008-06-25,3,8.1,7.66,7.67,7.42,0.90,0.46,10.71,5.48,5.59,2.62
C,09-Jul-08,2008-07-09,1,13.4,11.21,10.95,10.38,2.20,0.01,26.40,0.12,-3.00,-9.84
C,09-Jul-08,2008-07-09,2,13.7,10.96,11.01,10.53,2.50,-0.24,30.00,-2.88,-2.28,-8.04
C,09-Jul-08,2008-07-09,3,13.26,10.88,10.83,10.41,2.06,-0.32,24.72,-3.84,-4.44,-9.48
C,23-Jul-08,2008-07-23,1,7.25,6.7,7.04,6.85,-0.18,-0.73,-2.30,-9.35,-4.99,-7.43
C,23-Jul-08,2008-07-23,2,7.48,6.78,7.01,6.9,0.05,-0.65,0.64,-8.32,-5.38,-6.79
C,23-Jul-08,2008-07-23,3,7.2,6.82,7.12,6.88,-0.23,-0.61,-2.94,-7.81,-3.97,-7.04
C,07-Aug-08,2008-08-07,1,8.8,5.91,6.64,5.9,2.37,-0.52,31.03,-6.81,2.75,-6.94
C,07-Aug-08,2008-08-07,2,8.62,5.35,6.73,5.95,2.19,-1.08,28.67,-14.14,3.93,-6.28
C,07-Aug-08,2008-08-07,3,9.13,5.68,6.84,5.56,2.70,-0.75,35.35,-9.82,5.37,-11.39
C,20-Aug-08,2008-08-20,1,8.76,6.16,7.21,6.84,0.88,-1.72,11.27,-22.02,-8.58,-13.31
C,20-Aug-08,2008-08-20,2,8.33,6.46,7.18,6.88,0.45,-1.42,5.76,-18.18,-8.96,-12.80
C,20-Aug-08,2008-08-20,3,9.5,5.83,6.99,6.67,1.62,-2.05,20.74,-26.24,-11.39,-15.49
C,04-Sep-08,2008-09-04,1,8.02,7.04,7.09,7.06,2.64,1.66,33.06,20.79,21.42,21.04
C,04-Sep-08,2008-09-04,2,7.7,7.26,7.09,7.04,2.32,1.88,29.05,23.54,21.42,20.79
C,04-Sep-08,2008-09-04,3,7.97,7.89,7.17,7.12,2.59,2.51,32.44,31.43,22.42,21.79
C,14-May-09,2009-05-14,1,15.64,12.3,13.08,12.67,4.17,0.83,51.55,10.26,19.90,14.83
C,14-May-09,2009-05-14,2,16.81,12.79,13.06,12.58,5.34,1.32,66.02,16.32,19.66,13.72
C,14-May-09,2009-05-14,3,16.27,12.51,13.47,12.22,4.80,1.04,59.34,12.86,24.72,9.27
C,27-May-09,2009-05-27,1,7.5,6.44,7.54,8.16,-1.82,-2.88,-22.55,-35.68,-22.05,-14.37
C,27-May-09,2009-05-27,2,7.8,6.03,8.41,7.51,-1.52,-3.29,-18.83,-40.76,-11.27,-22.42
C,27-May-09,2009-05-27,3,8.4,6.56,8.63,7.16,-0.92,-2.76,-11.40,-34.19,-8.55,-26.76
C,11-Jun-09,2009-06-11,1,6.53,6.2,5.75,8.18,-0.68,-1.01,-8.16,-12.12,-17.52,11.64
C,11-Jun-09,2009-06-11,2,5.43,6.38,5.41,6.61,-1.78,-0.83,-21.36,-9.96,-21.60,-7.20
C,11-Jun-09,2009-06-11,3,6,7.05,4.22,6.95,-1.21,-0.16,-14.52,-1.92,-35.89,-3.12
C,24-Jun-09,2009-06-24,1,6.44,6.32,6.38,5.4,-0.78,-0.90,-9.77,-11.27,-10.52,-22.79
C,24-Jun-09,2009-06-24,2,6.2,5.79,6.18,5.81,-1.02,-1.43,-12.77,-17.91,-13.02,-17.66
C,24-Jun-09,2009-06-24,3,6.18,5.52,6,5.7,-1.04,-1.70,-13.02,-21.29,-15.28,-19.04
C,08-Jul-09,2009-07-08,1,8.2,7.58,7.67,7.48,0.60,-0.02,7.35,-0.25,0.86,-1.47
C,08-Jul-09,2009-07-08,2,8.21,7.68,7.75,7.56,0.61,0.08,7.48,0.98,1.84,-0.49
C,08-Jul-09,2009-07-08,3,8.6,7.55,7.69,7.5,1.00,-0.05,12.26,-0.61,1.10,-1.23
C,22-Jul-09,2009-07-22,1,7.32,6.45,6.89,6.78,-0.50,-1.37,-6.13,-16.79,-11.40,-12.75
C,22-Jul-09,2009-07-22,2,7.86,6.52,7.07,6.84,0.04,-1.30,0.49,-15.93,-9.19,-12.01
C,22-Jul-09,2009-07-22,3,7.62,6.61,7.02,6.92,-0.20,-1.21,-2.45,-14.83,-9.81,-11.03
C,06-Aug-09,2009-08-06,1,7.66,6.08,6.35,6.23,0.10,-1.48,1.29,-19.16,-15.66,-17.22
C,06-Aug-09,2009-08-06,2,7.46,6.25,6.5,6.18,-0.10,-1.31,-1.29,-16.96,-13.72,-17.87
C,06-Aug-09,2009-08-06,3,8.2,6.27,6.67,6.22,0.64,-1.29,8.29,-16.70,-11.52,-17.35
C,19-Aug-09,2009-08-19,1,9.97,7.3,7.37,6.85,1.85,-0.82,22.68,-10.05,-9.19,-15.57
C,19-Aug-09,2009-08-19,2,10.23,6.9,7.64,7.4,2.11,-1.22,25.86,-14.95,-5.88,-8.83
C,19-Aug-09,2009-08-19,3,10.6,7.54,7.91,7.21,2.48,-0.58,30.40,-7.11,-2.57,-11.15
C,02-Sep-09,2009-09-02,1,7.4,8.01,9.41,7.49,0.94,1.55,14.25,23.50,44.72,15.61
C,02-Sep-09,2009-09-02,2,7.9,9.35,7.67,7.77,1.44,2.89,21.83,43.81,18.34,19.86
C,02-Sep-09,2009-09-02,3,8.32,12.42,7.91,7.74,1.86,5.96,28.20,90.35,21.98,19.41
C,12-May-10,2010-05-12,1,9.59,7.03,7.45,7.39,-0.03,-2.59,-0.37,-31.75,-26.60,-27.33
C,12-May-10,2010-05-12,2,9.42,7.91,7.52,7.39,-0.20,-1.71,-2.45,-20.96,-25.74,-27.33
C,12-May-10,2010-05-12,3,10.1,7.51,7.75,7.22,0.48,-2.11,5.88,-25.86,-22.92,-29.42
C,27-May-10,2010-05-27,1,8.64,9.29,7.15,8.25,-0.29,0.36,-3.63,4.51,-22.29,-8.52
C,27-May-10,2010-05-27,2,9.51,7.84,8.32,8.05,0.58,-1.09,7.26,-13.65,-7.64,-11.02
C,27-May-10,2010-05-27,3,7.98,7.78,7.34,8.41,-0.95,-1.15,-11.90,-14.40,-19.91,-6.51
C,09-Jun-10,2010-06-09,1,9.86,9.04,9.16,8.98,1.62,0.80,21.21,10.47,12.05,9.69
C,09-Jun-10,2010-06-09,2,9.9,9,9.32,9.07,1.66,0.76,21.73,9.95,14.14,10.87
C,09-Jun-10,2010-06-09,3,9.93,9.05,9.33,9.01,1.69,0.81,22.13,10.61,14.27,10.08
C,23-Jun-10,2010-06-23,1,9.48,9.85,10.6,10.16,1.09,1.46,13.65,18.28,27.68,22.17
C,23-Jun-10,2010-06-23,2,10.06,10.63,10.7,10.54,1.67,2.24,20.91,28.05,28.93,26.93
C,23-Jun-10,2010-06-23,3,9.85,10.5,10.31,10.18,1.46,2.11,18.28,26.42,24.05,22.42
C,07-Jul-10,2010-07-07,1,9.17,7.29,7.32,7.46,1.63,-0.25,19.98,-3.06,-2.70,-0.98
C,07-Jul-10,2010-07-07,2,8.74,7.23,7.53,7.36,1.20,-0.31,14.71,-3.80,-0.12,-2.21
C,07-Jul-10,2010-07-07,3,9.23,7.21,7.37,7.23,1.69,-0.33,20.71,-4.04,-2.08,-3.80
C,21-Jul-10,2010-07-21,1,6.83,6.58,6.75,6.52,0.76,0.51,9.32,6.25,8.33,5.52
C,21-Jul-10,2010-07-21,2,6.64,6.51,6.1,5.84,0.57,0.44,6.99,5.39,0.37,-2.82
C,21-Jul-10,2010-07-21,3,6.85,6.08,6.23,5.99,0.78,0.01,9.56,0.12,1.96,-0.98
C,05-Aug-10,2010-08-05,1,10.56,7.12,7.95,6.69,3.48,0.04,42.65,0.49,10.66,-4.78
C,05-Aug-10,2010-08-05,2,11.24,7.03,8.21,6.58,4.16,-0.05,50.99,-0.61,13.85,-6.13
C,05-Aug-10,2010-08-05,3,10.61,6.67,7.72,6.74,3.53,-0.41,43.27,-5.03,7.84,-4.17
C,18-Aug-10,2010-08-18,1,10.56,6.91,8.33,7.74,3.23,-0.42,39.59,-5.15,12.26,5.03
C,18-Aug-10,2010-08-18,2,9.9,7.55,8.24,7.67,2.57,0.22,31.50,2.70,11.15,4.17
C,18-Aug-10,2010-08-18,3,9.99,7.5,8.29,7.84,2.66,0.17,32.60,2.08,11.77,6.25
C,01-Sep-10,2010-09-01,1,8.3,4.14,5.4,6.6,1.41,-2.75,16.92,-33.00,-17.88,-3.48
C,01-Sep-10,2010-09-01,2,7.27,5.06,5.38,5.5,0.38,-1.83,4.56,-21.96,-18.12,-16.68
C,01-Sep-10,2010-09-01,3,7.5,5.63,5.5,5.61,0.61,-1.26,7.32,-15.12,-16.68,-15.36
C,11-May-11,2011-05-11,1,10.57,9.62,9.47,9.69,1.45,0.50,17.77,6.13,4.29,6.99
C,11-May-11,2011-05-11,2,10.76,9.78,9.78,9.57,1.64,0.66,20.10,8.09,8.09,5.52
C,11-May-11,2011-05-11,3,10.87,9.74,9.64,9.76,1.75,0.62,21.45,7.60,6.37,7.84
C,26-May-11,2011-05-26,1,8.43,8.27,7.53,8.05,-0.33,-0.49,-3.66,-5.43,-13.63,-7.87
C,26-May-11,2011-05-26,2,8.4,7.52,8.13,7.68,-0.36,-1.24,-3.99,-13.74,-6.98,-11.96
C,26-May-11,2011-05-26,3,8.5,7.82,7.91,8.06,-0.26,-0.94,-2.88,-10.41,-9.42,-7.76
C,08-Jun-11,2011-06-08,1,8.86,7.65,7.74,7.61,0.78,-0.43,9.66,-5.33,-4.21,-5.82
C,08-Jun-11,2011-06-08,2,8.85,7.67,7.84,7.52,0.77,-0.41,9.54,-5.08,-2.97,-6.94
C,08-Jun-11,2011-06-08,3,8.89,7.62,7.72,7.64,0.81,-0.46,10.04,-5.70,-4.46,-5.45
C,22-Jun-11,2011-06-22,1,8.29,7.3,7.61,7.52,1.12,0.13,13.73,1.59,5.39,4.29
C,22-Jun-11,2011-06-22,2,8.18,7.31,7.72,7.56,1.01,0.14,12.38,1.72,6.74,4.78
C,22-Jun-11,2011-06-22,3,8.27,7.53,7.69,7.64,1.10,0.36,13.48,4.41,6.37,5.76
C,06-Jul-11,2011-07-06,1,9.07,8.18,8.5,8.23,3.49,2.60,43.71,32.56,36.57,33.19
C,06-Jul-11,2011-07-06,2,9.01,8.36,8.25,7.95,3.43,2.78,42.96,34.82,33.44,29.68
C,06-Jul-11,2011-07-06,3,9.15,8.26,8.4,7.84,3.57,2.68,44.71,33.56,35.32,28.30
C,20-Jul-11,2011-07-20,1,9.2,6.42,8.13,6.51,1.87,-0.91,25.05,-12.19,10.72,-10.99
C,20-Jul-11,2011-07-20,2,8.42,6.43,7.88,6.61,1.09,-0.90,14.60,-12.06,7.37,-9.65
C,20-Jul-11,2011-07-20,3,7.72,6.4,8.24,6.42,0.39,-0.93,5.22,-12.46,12.19,-12.19
C,04-Aug-11,2011-08-04,1,8.27,6.65,6.99,6.78,1.03,-0.59,12.62,-7.23,-3.06,-5.64
C,04-Aug-11,2011-08-04,2,8.31,6.7,7.06,6.82,1.07,-0.54,13.12,-6.62,-2.21,-5.15
C,04-Aug-11,2011-08-04,3,8.34,6.63,7.2,6.97,1.10,-0.61,13.48,-7.48,-0.49,-3.31
C,17-Aug-11,2011-08-17,1,8.61,7.58,7.93,7.67,1.24,0.21,15.20,2.57,6.86,3.68
C,17-Aug-11,2011-08-17,2,8.6,7.64,7.94,7.76,1.23,0.27,15.08,3.31,6.99,4.78
C,17-Aug-11,2011-08-17,3,8.56,7.58,7.86,7.7,1.19,0.21,14.59,2.57,6.01,4.04
C,31-Aug-11,2011-08-31,1,7.52,6.72,7.31,7.13,0.02,-0.78,0.24,-9.36,-2.28,-4.44
C,31-Aug-11,2011-08-31,2,7.75,6.86,7.27,7.22,0.25,-0.64,3.00,-7.68,-2.76,-3.36
C,31-Aug-11,2011-08-31,3,7.33,6.87,7.35,7.07,-0.17,-0.63,-2.04,-7.56,-1.80,-5.16
C,09-May-12,2012-05-09,1,11.26,9.89,9.73,9.83,1.35,-0.02,17.68,-0.26,-2.36,-1.05
C,09-May-12,2012-05-09,2,10.29,9.97,9.78,9.74,0.38,0.06,4.98,0.79,-1.70,-2.23
C,09-May-12,2012-05-09,3,11.22,9.88,9.75,9.68,1.31,-0.03,17.15,-0.39,-2.09,-3.01
C,24-May-12,2012-05-24,1,11.83,9.72,10.02,9.75,1.34,-0.77,16.78,-9.64,-5.89,-9.27
C,24-May-12,2012-05-24,2,11.95,9.81,10.01,9.76,1.46,-0.68,18.28,-8.52,-6.01,-9.14
C,24-May-12,2012-05-24,3,12.35,9.91,9.91,9.72,1.86,-0.58,23.29,-7.26,-7.26,-9.64
C,06-Jun-12,2012-06-06,1,8.14,7.77,7.8,7.84,-0.18,-0.55,-2.16,-6.60,-6.24,-5.76
C,06-Jun-12,2012-06-06,2,8.25,7.85,7.96,7.82,-0.07,-0.47,-0.84,-5.64,-4.32,-6.00
C,06-Jun-12,2012-06-06,3,8.1,7.9,7.99,7.9,-0.22,-0.42,-2.64,-5.04,-3.96,-5.04
C,20-Jun-12,2012-06-20,1,7.45,7.25,7.28,7.39,0.29,0.09,3.55,1.10,1.47,2.82
C,20-Jun-12,2012-06-20,2,7.5,7.29,7.4,7.3,0.34,0.13,4.17,1.59,2.94,1.72
C,20-Jun-12,2012-06-20,3,7.35,7.42,7.37,7.32,0.19,0.26,2.33,3.19,2.57,1.96
C,05-Jul-12,2012-07-05,1,10.21,7.31,7.99,7.26,2.79,-0.11,35.72,-1.41,7.30,-2.05
C,05-Jul-12,2012-07-05,2,9.92,7.16,7.84,7.25,2.50,-0.26,32.00,-3.33,5.38,-2.18
C,05-Jul-12,2012-07-05,3,10.26,7.22,7.8,7.21,2.84,-0.20,36.36,-2.56,4.86,-2.69
C,18-Jul-12,2012-07-18,1,6.82,6.55,6.83,6.79,-0.33,-0.60,-4.13,-7.51,-4.01,-4.51
C,18-Jul-12,2012-07-18,2,6.85,6.67,6.85,6.8,-0.30,-0.48,-3.76,-6.01,-3.76,-4.38
C,18-Jul-12,2012-07-18,3,6.78,6.66,6.81,6.83,-0.37,-0.49,-4.63,-6.14,-4.26,-4.01
C,01-Aug-12,2012-08-01,1,9.34,6.58,8.26,6.84,2.04,-0.72,25.00,-8.83,11.77,-5.64
C,01-Aug-12,2012-08-01,2,8.5,6.78,8.21,6.83,1.20,-0.52,14.71,-6.37,11.15,-5.76
C,01-Aug-12,2012-08-01,3,8.66,6.69,8.08,6.97,1.36,-0.61,16.67,-7.48,9.56,-4.04
C,15-Aug-12,2012-08-15,1,7.83,7.31,7.47,7.37,0.13,-0.39,1.63,-4.88,-2.88,-4.13
C,15-Aug-12,2012-08-15,2,7.7,7.38,7.47,7.32,0.00,-0.32,0.00,-4.01,-2.88,-4.76
C,15-Aug-12,2012-08-15,3,7.66,7.39,7.48,7.31,-0.04,-0.31,-0.50,-3.88,-2.76,-4.88
C,29-Aug-12,2012-08-29,1,6.95,6.27,6.57,6.5,1.63,0.95,24.08,14.03,18.46,17.43
C,29-Aug-12,2012-08-29,2,6.76,6.23,6.79,6.52,1.44,0.91,21.27,13.44,21.71,17.73
C,29-Aug-12,2012-08-29,3,6.99,6.29,6.62,6.51,1.67,0.97,24.67,14.33,19.20,17.58
C,23-May-13,2013-05-23,1,11.87,9.21,9.06,9.03,3.15,0.49,38.61,6.01,4.17,3.80
C,23-May-13,2013-05-23,2,12.91,9.24,9.2,9.14,4.19,0.52,51.36,6.37,5.88,5.15
C,23-May-13,2013-05-23,3,12.97,9.05,9.42,9.12,4.25,0.33,52.09,4.04,8.58,4.90
C,05-Jun-13,2013-06-05,1,14.09,8.5,8.8,8.24,5.92,0.33,71.05,3.96,7.56,0.84
C,05-Jun-13,2013-06-05,2,13,8.54,8.34,8.22,4.83,0.37,57.97,4.44,2.04,0.60
C,05-Jun-13,2013-06-05,3,3.85,8.47,8.35,8.26,-4.32,0.30,-51.85,3.60,2.16,1.08
C,19-Jun-13,2013-06-19,1,8.17,8.08,8.15,8.23,1.28,1.19,15.36,14.28,15.12,16.08
C,19-Jun-13,2013-06-19,2,8.18,8.04,8.16,8.18,1.29,1.15,15.48,13.80,15.24,15.48
C,19-Jun-13,2013-06-19,3,8.23,8.1,8.23,8.28,1.34,1.21,16.08,14.52,16.08,16.68
C,04-Jul-13,2013-07-04,1,8.47,6.79,7.32,6.89,1.45,-0.23,17.77,-2.82,3.68,-1.59
C,04-Jul-13,2013-07-04,2,8.82,6.89,7.37,7.01,1.80,-0.13,22.06,-1.59,4.29,-0.12
C,04-Jul-13,2013-07-04,3,8.29,6.86,7.41,6.85,1.27,-0.16,15.57,-1.96,4.78,-2.08
C,17-Jul-13,2013-07-17,1,7.67,6.33,7.1,6.66,0.19,-1.15,2.28,-13.80,-4.56,-9.84
C,17-Jul-13,2013-07-17,2,7.4,6.5,7.06,6.54,-0.08,-0.98,-0.96,-11.76,-5.04,-11.28
C,17-Jul-13,2013-07-17,3,7.58,6.28,6.85,6.53,0.10,-1.20,1.20,-14.40,-7.56,-11.40
C,31-Jul-13,2013-07-31,1,9.47,7.98,9.01,8.36,1.69,0.20,20.71,2.45,15.08,7.11
C,31-Jul-13,2013-07-31,2,9.21,8.01,8.96,8.32,1.43,0.23,17.53,2.82,14.46,6.62
C,31-Jul-13,2013-07-31,3,9.31,8.07,8.62,8.44,1.53,0.29,18.75,3.55,10.30,8.09
C,14-Aug-13,2013-08-14,1,8.13,7.77,7.96,7.76,0.39,0.03,4.68,0.36,2.64,0.24
C,14-Aug-13,2013-08-14,2,8.11,7.71,8.05,7.91,0.37,-0.03,4.44,-0.36,3.72,2.04
C,14-Aug-13,2013-08-14,3,8.12,7.78,8.07,7.92,0.38,0.04,4.56,0.48,3.96,2.16
C,28-Aug-13,2013-08-28,1,6.82,6.05,7.3,6.57,-0.36,-1.13,-4.41,-13.85,1.47,-7.48
C,28-Aug-13,2013-08-28,2,7.02,6.14,7.36,6.68,-0.16,-1.04,-1.96,-12.75,2.21,-6.13
C,28-Aug-13,2013-08-28,3,7.16,6.12,7.33,6.64,-0.02,-1.06,-0.25,-12.99,1.84,-6.62
C,14-May-14,2014-05-14,0,7.22,7.21,6.76,7.65,-2.82,-2.83,-35.85,-35.97,-41.69,-30.38
C,14-May-14,2014-05-14,1,6.92,7.07,7.18,6.75,-3.12,-2.97,-39.66,-37.75,-36.36,-41.82
C,14-May-14,2014-05-14,3,9.57,7.55,7.07,6.3,-0.47,-2.49,-5.97,-31.65,-37.75,-47.54
C,28-May-14,2014-05-28,1,8.68,7.19,6.85,6.08,1.55,0.06,18.87,0.73,-3.41,-12.78
C,28-May-14,2014-05-28,2,8.23,7.37,7.32,6.5,1.10,0.24,13.39,2.92,2.31,-7.67
C,28-May-14,2014-05-28,3,8.54,6.74,6.39,6.19,1.41,-0.39,17.17,-4.75,-9.01,-11.44
C,11-Jun-14,2014-06-11,1,5.63,6.16,6.46,5.56,-1.41,-0.88,-17.47,-10.90,-7.19,-18.34
C,11-Jun-14,2014-06-11,2,5.3,4.99,6.03,6.85,-1.74,-2.05,-21.56,-25.40,-12.51,-2.35
C,11-Jun-14,2014-06-11,3,5.27,5.06,6.2,6.48,-1.77,-1.98,-21.93,-24.53,-10.41,-6.94
C,25-Jun-14,2014-06-25,1,6.13,4.78,6.24,4.89,-0.56,-1.91,-6.86,-23.41,-5.52,-22.06
C,25-Jun-14,2014-06-25,2,6.41,5.39,5.58,5.18,-0.28,-1.30,-3.43,-15.93,-13.61,-18.51
C,25-Jun-14,2014-06-25,3,6.64,4.79,5.86,4.6,-0.05,-1.90,-0.61,-23.29,-10.17,-25.62
C,23-Jul-14,2014-07-23,1,5.16,5.11,5.24,5.15,-0.24,-0.29,-3.07,-3.71,-2.05,-3.20
C,23-Jul-14,2014-07-23,2,5.34,5.18,5.25,5.23,-0.06,-0.22,-0.77,-2.82,-1.92,-2.18
C,23-Jul-14,2014-07-23,3,5.34,5.12,5.14,5.55,-0.06,-0.28,-0.77,-3.58,-3.33,1.92
C,07-Aug-14,2014-08-07,1,5.3,4.25,5.05,4.48,-0.87,-1.92,-10.86,-23.96,-13.98,-21.09
C,07-Aug-14,2014-08-07,2,5.49,4.55,5.15,4.22,-0.68,-1.62,-8.49,-20.22,-12.73,-24.34
C,07-Aug-14,2014-08-07,3,5.17,4.5,4.9,4.5,-1.00,-1.67,-12.48,-20.84,-15.85,-20.84
C,20-Aug-14,2014-08-20,1,6.8,6.28,6.55,6.33,0.10,-0.42,1.23,-5.17,-1.84,-4.55
C,20-Aug-14,2014-08-20,2,6.87,6.7,6.6,6.48,0.17,0.00,2.09,0.00,-1.23,-2.71
C,20-Aug-14,2014-08-20,3,6.85,6.2,6.62,6.57,0.15,-0.50,1.84,-6.15,-0.98,-1.60
D,24-Jun-96,1996-06-24,1,5.6,5,5.2,5.2,0.40,-0.20,5.49,-2.74,0.00,0.00
D,24-Jun-96,1996-06-24,2,5.7,5,5.2,5.1,0.50,-0.20,6.86,-2.74,0.00,-1.37
D,24-Jun-96,1996-06-24,3,5.6,4.8,5.2,5.1,0.40,-0.40,5.49,-5.49,0.00,-1.37
D,02-Jul-96,1996-07-02,1,5,4.7,4.8,4.8,0.20,-0.10,2.40,-1.20,0.00,0.00
D,02-Jul-96,1996-07-02,2,5.1,4.6,4.9,4.7,0.30,-0.20,3.60,-2.40,1.20,-1.20
D,02-Jul-96,1996-07-02,3,5.2,4.6,4.8,4.7,0.40,-0.20,4.80,-2.40,0.00,-1.20
D,17-Jul-96,1996-07-17,1,5.8,5.5,5.6,5.6,0.20,-0.10,2.40,-1.20,0.00,0.00
D,17-Jul-96,1996-07-17,2,5.8,5.4,5.6,5.5,0.20,-0.20,2.40,-2.40,0.00,-1.20
D,17-Jul-96,1996-07-17,3,5.8,5.5,5.7,5.6,0.20,-0.10,2.40,-1.20,1.20,0.00
D,29-Jul-96,1996-07-29,1,4.1,3.8,3.9,3.9,0.20,-0.10,2.40,-1.20,0.00,0.00
D,29-Jul-96,1996-07-29,2,4,3.8,3.9,3.8,0.10,-0.10,1.20,-1.20,0.00,-1.20
D,29-Jul-96,1996-07-29,3,4.1,3.8,4,3.9,0.20,-0.10,2.40,-1.20,1.20,0.00
D,15-Aug-96,1996-08-15,1,4.6,4.2,4.4,4.4,0.20,-0.20,2.45,-2.45,0.00,0.00
D,15-Aug-96,1996-08-15,2,4.7,4.3,4.4,4.3,0.30,-0.10,3.68,-1.23,0.00,-1.23
D,15-Aug-96,1996-08-15,3,4.6,4.2,4.5,4.5,0.20,-0.20,2.45,-2.45,1.23,1.23
D,28-Aug-96,1996-08-28,1,4.3,4,4.1,4.1,0.20,-0.10,2.45,-1.23,0.00,0.00
D,28-Aug-96,1996-08-28,2,4.2,3.9,4.2,4.1,0.10,-0.20,1.23,-2.45,1.23,0.00
D,28-Aug-96,1996-08-28,3,4.2,3.9,4.1,4.2,0.10,-0.20,1.23,-2.45,0.00,1.23
D,14-May-97,1997-05-14,1,7,6.8,6.65,6.6,-1.70,-1.90,-20.40,-22.80,-24.60,-25.20
D,14-May-97,1997-05-14,2,7,6.8,6.65,6.7,-1.70,-1.90,-20.40,-22.80,-24.60,-24.00
D,14-May-97,1997-05-14,3,7,6.8,6.65,6.65,-1.70,-1.90,-20.40,-22.80,-24.60,-24.60
D,30-May-97,1997-05-30,1,7,6.8,6.65,6.6,3.80,3.60,45.61,43.21,41.41,40.81
D,30-May-97,1997-05-30,2,7,6.8,6.65,6.7,3.80,3.60,45.61,43.21,41.41,42.01
D,30-May-97,1997-05-30,3,7,6.8,6.6,6.65,3.80,3.60,45.61,43.21,40.81,41.41
D,13-Jun-97,1997-06-13,1,8.3,6.5,6.2,3.3,0.50,-1.30,6.00,-15.60,-19.20,-54.01
D,13-Jun-97,1997-06-13,2,8.1,6.4,5.5,4.5,0.30,-1.40,3.60,-16.80,-27.60,-39.61
D,13-Jun-97,1997-06-13,3,7.5,6.4,5.1,4.9,-0.30,-1.40,-3.60,-16.80,-32.40,-34.81
D,30-Jun-97,1997-06-30,1,5.8,4.2,4.4,4.6,-1.20,-2.80,-14.40,-33.61,-31.20,-28.80
D,30-Jun-97,1997-06-30,2,5.6,4.6,4.5,4.3,-1.40,-2.40,-16.80,-28.80,-30.00,-32.40
D,30-Jun-97,1997-06-30,3,5.7,4.4,4.4,4.1,-1.30,-2.60,-15.60,-31.20,-31.20,-34.81
D,15-Jul-97,1997-07-15,1,3.6,3.1,3.2,3.2,-4.40,-4.90,-52.81,-58.81,-57.61,-57.61
D,15-Jul-97,1997-07-15,2,3.8,3.1,3.2,3,-4.20,-4.90,-50.41,-58.81,-57.61,-60.01
D,15-Jul-97,1997-07-15,3,3.4,3.1,3.2,3.1,-4.60,-4.90,-55.21,-58.81,-57.61,-58.81
D,29-Jul-97,1997-07-29,1,7.4,7,6.6,6.2,-0.60,-1.00,-7.20,-12.00,-16.80,-21.60
